project_id,project_type,region,industry,budget,team_size,duration_months,stakeholder_engagement_score,risk_score,complexity_score,num_issues,prior_success_rate,success
P0001,Research,Africa,Technology,571079.1250617234,23,13,90.52675184898632,9.780742205107444,50.14393150073144,2,0.6466190478119488,1
P0002,Research,Africa,Finance,536294.3407349051,48,19,41.30079633013303,1.2178836988795325,72.06882450076263,3,0.30473406136907966,0
P0003,Software,Asia,Retail,327350.9633866546,43,20,75.63547027518509,37.994922997881766,78.94879642093278,3,0.4932702392315026,0
P0004,Research,Europe,Manufacturing,531329.5392507133,46,6,40.60494814180336,54.37276632107725,77.63522077897221,3,0.39818293142697847,1
P0005,HR,Europe,Finance,551542.7434352692,45,17,43.554397669558995,12.48646455586966,32.66435722227405,1,0.7272610216690341,0
P0006,Marketing,Africa,Healthcare,374117.3715166042,11,11,65.36181436223178,19.836934209050344,81.9929395156964,2,0.7625051644788396,0
P0007,Software,Asia,Retail,359935.57386319246,18,9,81.76312281480908,46.98932283480435,40.68884656210051,5,0.7745410195981035,1
P0008,HR,Asia,Technology,575217.2497287208,10,14,87.37279979398042,77.43724267099553,63.511065879096655,4,0.6592240554129152,1
P0009,Marketing,North America,Retail,335560.13070779666,28,17,83.72326482889018,40.337546424974136,48.60343303203193,3,0.7635747024433129,0
P0010,HR,North America,Finance,433735.09651609807,36,3,68.73752372228233,78.6703097457984,81.31587417098609,4,0.33562460987331216,0
P0011,HR,South America,Healthcare,588028.5640700406,20,3,100.0,50.561989266964034,36.05825873323394,7,0.5713075540738621,1
P0012,Software,Asia,Manufacturing,374362.79123553284,35,12,80.15779098373149,66.27034434739339,35.3827136713209,4,0.31199171046324037,1
P0013,Marketing,South America,Finance,397996.2917632264,12,6,73.48380545741506,54.525765389977494,76.94802865153278,1,0.6349666023982943,0
P0014,HR,North America,Manufacturing,353797.74946590175,25,18,81.80626905613678,65.39954719861586,85.36779044807804,5,0.7757347096381791,1
P0015,Infrastructure,Africa,Finance,460301.4750143066,9,18,100.0,28.582150038777755,69.64944830486371,4,0.575173522223668,0
P0016,Marketing,South America,Finance,467381.4534643964,36,3,62.871139773992866,31.47906761577044,49.740693647287564,7,0.8114847017724752,0
P0017,Software,North America,Technology,567466.1057733101,46,5,96.68386515828942,63.135946623279594,31.28198361251936,1,0.36334687570911617,1
P0018,Research,Asia,Manufacturing,265916.43913440965,26,21,100.0,96.29317133347017,22.654696148165037,2,0.42137594527415534,1
P0019,HR,South America,Manufacturing,492853.4433264433,10,15,77.7804168657667,42.5095688181906,34.175677737276345,5,0.33841714006612494,0
P0020,Infrastructure,Africa,Healthcare,384227.1383364867,5,17,94.91952595912231,56.35534064874237,27.755453856509533,8,0.8533822298373246,1
P0021,Research,Africa,Finance,604863.8572789984,40,3,78.99844950566509,92.26224313916404,50.03186754587109,4,0.6003627222389353,1
P0022,HR,South America,Healthcare,510470.3127485028,31,22,64.2202960470736,12.052460350226845,85.61081523354927,8,0.6561983735470065,1
P0023,HR,Europe,Healthcare,406664.4252640581,49,13,64.6676703862546,57.24027823884941,71.62628268071448,7,0.4661594543637574,0
P0024,HR,South America,Finance,671655.7303212025,39,11,82.867969881827,62.65704874765423,14.91682640964769,3,0.5177418818680372,0
P0025,Research,Asia,Healthcare,377266.8975149791,39,14,100.0,74.09845843557149,36.06679061572956,5,0.18199645027394407,0
P0026,Marketing,Asia,Healthcare,513510.8880472492,42,9,71.24095653700718,21.21076806732539,52.33024947610477,4,0.8121384926360603,0
P0027,Software,North America,Retail,400365.8835043366,35,21,90.40167049372258,56.21815131196009,89.50712433899105,4,0.4635314797759692,1
P0028,HR,North America,Finance,334366.73171793006,29,3,81.42357761946394,54.48184963620834,60.2518480156359,6,0.8400823096826797,0
P0029,Software,Asia,Manufacturing,368665.73179520585,12,6,66.47727499616039,7.522085513803859,49.48489956638478,6,0.7142695020653576,1
P0030,Marketing,Africa,Healthcare,752702.7446908432,29,4,44.04527034363733,25.365384649803488,63.791698403211775,9,0.6684913836015028,0
P0031,Marketing,Africa,Retail,638622.8574628303,23,19,82.19284696357148,35.20762461141295,47.01505443332581,5,0.0,0
P0032,Infrastructure,South America,Finance,809112.1887322981,34,19,96.33011263664807,62.90751899170295,87.37263115064698,3,0.8116848973699176,1
